,student,position,name
386,Bruno Monte de Castro,comitee, Jesús Enrique García
387,Bruno Monte de Castro,comitee, Anatoli Iambartsev
388,Cesar Armando Beltran Castañon,president, Arthur  Gruber
389,Cesar Armando Beltran Castañon,comitee, Odemir Martinez Bruno
390,Cesar Armando Beltran Castañon,comitee, Marcelo Urbano Ferreira
391,Cesar Armando Beltran Castañon,comitee, Nina Sumiko Tomita Hirata
392,Cesar Armando Beltran Castañon,comitee, Roberto de Alencar Lotufo
393,Bruno Sanchez de Araujo,president, Ariane  Machado-Lima
394,Bruno Sanchez de Araujo,comitee, David Corrêa Martins Junior
395,Bruno Sanchez de Araujo,comitee, Ivandre Paraboni
396,Bruno Sanchez de Araujo,comitee, Rogerio Lopes Salvini
397,Fábio Nakano,president, Carlos Alberto de Braganca  Pereira
398,Fábio Nakano,comitee, Jorge Alberto Achcar
399,Fábio Nakano,comitee, Fabio Gagliardi Cozman
400,Fábio Nakano,comitee, Louis Bernard Klaczko
401,Fábio Nakano,comitee, Paulo Alberto Otto
