,student,position,name
91,Amanda Rusiska Piovezani,comitee, Gabriel Rodrigues Alves Margarido
92,Amanda Rusiska Piovezani,comitee, Milton Yutaka Nishiyama Junior
93,Matheus Carvalho Bürger,president, Helder Takashi Imoto  Nakaya
94,Matheus Carvalho Bürger,comitee, Ronaldo Fumio Hashimoto
95,Matheus Carvalho Bürger,comitee, Eduardo Lani Volpe da Silveira
96,Carlos Eduardo Madureira Trufen,president, Anatoli  Iambartsev
97,Carlos Eduardo Madureira Trufen,comitee, Julia Maria Pavan Soler
98,Carlos Eduardo Madureira Trufen,comitee, Flavia Vischi Winck
99,Jaqueline Yu Ting Wang,president, Helder Takashi Imoto  Nakaya
100,Jaqueline Yu Ting Wang,comitee, Helena Paula Brentani
101,Jaqueline Yu Ting Wang,comitee, Maria Rita dos Santos e Passos Bueno
102,Jaqueline Yu Ting Wang,comitee, Ana Carolina Tahira
103,Jhonatas Sirino Monteiro,president, João Carlos  Setubal
104,Jhonatas Sirino Monteiro,comitee, Denis Moledo de Souza Abessa
105,Jhonatas Sirino Monteiro,comitee, Eduardo Moraes Rego Reis
106,Jhonatas Sirino Monteiro,comitee, Israel Tojal da Silva
107,Antonio Ferrão Neto,president, Ariane Machado  Lima
108,Antonio Ferrão Neto,comitee, Luciano Antonio Digiampietri
109,Antonio Ferrão Neto,comitee, Tatiana Teixeira Torres
110,Ester Risério Matos Bertoldi,president, Eduardo Moraes Rego  Reis
111,Ester Risério Matos Bertoldi,comitee, Suely Kazue Nagahashi Marie
112,Ester Risério Matos Bertoldi,comitee, Márcio Katsumi Oikawa
113,Cynthia Martins Villar Couto,president, Luciano da Fontoura  Costa
114,Cynthia Martins Villar Couto,comitee, André Carlos Ponce de Leon Ferreira de Carvalho
115,Cynthia Martins Villar Couto,comitee, Helder Takashi Imoto Nakaya
116,Cynthia Martins Villar Couto,comitee, Sergio Furtado dos Reis
117,Cynthia Martins Villar Couto,comitee, Jose Hiroki Saito
118,Luiz Thibério Lira Diniz Rangel,president, João Carlos  Setubal
119,Luiz Thibério Lira Diniz Rangel,comitee, Daniel José Galafasse Lahr
120,Luiz Thibério Lira Diniz Rangel,comitee, Emanuel Maltempi de Souza
121,Luiz Thibério Lira Diniz Rangel,comitee, Alessandro de Mello Varani
122,Luiz Thibério Lira Diniz Rangel,comitee, Paolo Marinho de Andrade Zanotto
123,Patrícia de Cássia Ruy,na,Identificação e análise in silico de ncRNAs empregando dados de RNA-seq em Leishmania
124,George Willian Condomitti Epamino,president, João Carlos  Setubal
125,George Willian Condomitti Epamino,comitee, Ronaldo Fumio Hashimoto
126,George Willian Condomitti Epamino,comitee, Daniel Guariz Pinheiro
127,Gianluca Major Machado da Silva,president, João Carlos  Setubal
128,Gianluca Major Machado da Silva,comitee, André Fujita
129,Gianluca Major Machado da Silva,comitee, Rodrigo Mendes
130,Rodrigo Guarischi Mattos Amaral de Sousa,president, João Carlos  Setubal
131,Rodrigo Guarischi Mattos Amaral de Sousa,comitee, Paul Christopher Boutros
132,Rodrigo Guarischi Mattos Amaral de Sousa,comitee, Anamaria Aranha Camargo
133,Rodrigo Guarischi Mattos Amaral de Sousa,comitee, Pedro Alexandre Favoretto Galante
134,Rodrigo Guarischi Mattos Amaral de Sousa,comitee, Eduardo Moraes Rego Reis
135,Pablo de Morais Andrade,president, Carlos Alberto de Braganca  Pereira
136,Pablo de Morais Andrade,comitee, Helena Paula Brentani
137,Pablo de Morais Andrade,comitee, Milton Yutaka Nishiyama Junior
138,Pablo de Morais Andrade,comitee, João Carlos Setubal
139,Pablo de Morais Andrade,comitee, Sergio Wechsler
140,Lucas Ferreira da Silva,president, Sergio Verjovski de  Almeida
141,Lucas Ferreira da Silva,comitee, Alexandre Bruni Cardoso
142,Lucas Ferreira da Silva,comitee, André Fujita
143,Lucas Ferreira da Silva,comitee, Helder Takashi Imoto Nakaya
144,Lucas Ferreira da Silva,comitee, Francisco Prosdocimi de Castro Santos
145,Sergio Alejandro Poveda Cuevas,president, Fernando Luis Barroso da  Silva
146,Sergio Alejandro Poveda Cuevas,comitee, Leandro Ramos Souza Barbosa
147,Sergio Alejandro Poveda Cuevas,comitee, Luciana Malavolta Quaglio
148,Sergio Alejandro Poveda Cuevas,comitee, Jose Cesar Rosa
149,Felipe ten Caten,president, Tie  Koide
150,Felipe ten Caten,comitee, Angela Kaysel Cruz
151,Felipe ten Caten,comitee, Marilis do Valle Marques
